,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,std,nonmissing,,"reliability=0,9704"
adder,viper,3,3,2,3,4,2,3,3,3,2,1,4,2,2,4,3,4,3,3,2,3,2,2,2,3,2,3,2,2.678571429,0.772373515,28,,
alligator,alligator,3,2,3,3,3,2,3,2,2,1,1,4,2,2,5,2,3,3,2,2,3,2,2,3,2,2,3,2,2.464285714,0.83808171,28,,
boa,boa,3,3,2,3,2,2,3,3,3,2,2,4,3,2,4,2,4,3,2,3,3,1,2,3,2,2,3,2,2.607142857,0.737326789,28,,
cobra,cobra,3,3,3,3,3,2,3,2,2,2,2,3,2,2,3,2,4,3,2,3,3,1,2,3,2,3,3,2,2.535714286,0.63724772,28,,
dinosaurus,dinosaur,3,2,3,4,3,4,3,3,2,2,2,4,2,2,4,2,4,2,3,3,3,1,2,2,2,3,3,2,2.678571429,0.818923025,28,,
gekko,gecko,2,1,2,3,2,2,3,2,2,1,1,3,1,1,3,2,3,2,2,1,1,2,2,2,2,2,2,2,1.928571429,0.662686532,28,,
hagedis,lizard,3,3,3,3,3,3,3,3,3,2,2,4,2,2,5,4,4,3,2,3,3,2,2,2,2,3,3,3,2.857142857,0.755928946,28,,
hazelworm,blindworm,2,2,2,1,3,1,2,3,1,1,1,1,1,1,3,2,2,3,1,2,1,1,1,1,2,2,1,1,1.607142857,0.737326789,28,,
kaaiman,caiman,3,2,3,2,3,2,2,2,2,1,2,3,2,1,2,1,2,2,2,1,2,1,1,3,2,2,3,2,2,0.666666667,28,,
kameleon,chameleon,3,3,3,3,4,5,4,3,2,2,2,4,2,2,4,3,4,2,3,3,3,2,2,2,2,2,3,2,2.821428571,0.862965234,28,,
kikker,frog,3,4,3,3,4,5,4,4,3,3,3,4,3,5,5,5,4,4,4,4,3,3,3,4,3,4,3,5,3.75,0.751541625,28,,
krokodil,crocodile,3,3,3,4,5,5,4,4,3,2,2,4,2,2,5,4,4,3,3,3,3,2,3,3,2,3,3,4,3.25,0.927960727,28,,
leguaan,iguana,3,2,2,3,3,2,3,3,3,2,2,4,2,2,4,3,3,3,2,2,3,2,2,3,3,3,3,2,2.642857143,0.621484824,28,,
pad,toad,4,3,3,4,4,2,4,4,3,2,2,4,3,5,5,4,4,4,3,3,3,3,2,3,3,2,3,3,3.285714286,0.854493259,28,,
python,python,3,2,3,3,2,2,3,2,3,2,2,4,2,2,4,2,3,3,2,3,3,1,1,2,2,2,3,2,2.428571429,0.741798187,28,,
salamander,salamander,3,2,3,3,3,3,3,3,3,2,1,4,2,3,4,4,4,3,2,3,3,2,2,2,3,3,3,3,2.821428571,0.722832465,28,,
schildpad,tortoise,3,3,3,4,4,5,4,3,2,2,2,4,3,2,5,4,4,4,3,4,3,3,3,3,3,3,4,5,3.392857143,0.875141712,28,,
slang,snake,3,3,3,4,5,5,4,3,3,3,3,4,3,5,4,4,4,4,4,3,3,3,3,3,3,4,3,3,3.535714286,0.692934867,28,,
varaan,monitor lizard,3,2,2,1,1,1,3,2,3,1,1,4,1,1,3,2,3,2,1,2,1,1,1,2,2,2,2,1,1.821428571,0.862965234,28,,
waterschildpad,turtle,3,3,3,3,4,3,3,2,3,2,3,4,2,2,4,4,4,3,2,2,3,2,2,2,3,2,3,3,2.821428571,0.722832465,28,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
