,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,std,nonmissing,,"reliability=0,9627"
aap,monkey,5,4,2,3,3,4,3,5,2,4,3,4,3,4,3,2,2,3,3,3,2,5,4,2,5,3,2,4,3.285714286,1.013141168,28,,
bever,beaver,4,2,2,3,3,3,2,2,2,3,3,2,2,3,3,2,2,3,4,3,2,3,3,2,2,2,2,3,2.571428571,0.634126487,28,,
bizon,bison,3,2,2,2,3,3,2,3,2,2,3,3,3,3,3,2,2,2,2,2,2,4,4,2,3,3,2,3,2.571428571,0.634126487,28,,
dromedaris,dromedary,2,2,2,2,3,3,2,3,2,2,3,3,3,3,3,2,2,2,2,2,2,3,3,2,3,3,2,3,2.464285714,0.5078745,28,,
eekhoorn,squirrel,3,4,3,3,3,4,2,3,3,3,3,3,3,4,3,2,2,3,4,2,3,4,4,3,4,2,2,3,3.035714286,0.692934867,28,,
egel,hedgehog,3,3,3,2,3,4,2,3,3,3,3,3,3,4,3,3,2,3,3,3,2,3,4,2,3,2,2,3,2.857142857,0.59093684,28,,
ezel,donkey,3,4,3,2,3,4,4,5,2,3,3,4,3,4,3,2,2,2,4,5,2,4,4,3,3,3,2,3,3.178571429,0.904866326,28,,
giraf,giraffe,5,2,2,3,3,3,2,5,2,3,3,3,2,4,4,2,3,3,4,3,2,4,3,3,2,3,2,3,2.964285714,0.881166855,28,,
hamster,hamster,3,4,3,2,3,5,2,4,2,3,3,3,3,4,3,3,2,3,3,3,3,4,4,4,4,5,2,4,3.25,0.844371342,28,,
hert,deer,5,2,2,3,3,4,3,4,3,3,3,3,3,4,3,3,3,3,4,3,2,4,4,3,3,3,3,4,3.214285714,0.686221153,28,,
hond,dog,5,5,5,4,4,5,3,5,3,3,3,5,4,4,4,5,4,4,5,4,4,5,5,5,5,5,4,4,4.321428571,0.722832465,28,,
ijsbeer,polar bear,3,2,2,2,3,4,2,4,2,2,3,3,3,4,3,2,2,2,3,2,2,4,4,2,3,3,2,3,2.714285714,0.76289618,28,,
kangoeroe,kangaroo,4,2,2,3,3,3,2,4,2,2,3,3,3,4,3,2,2,3,2,2,2,3,3,3,2,3,2,3,2.678571429,0.669636243,28,,
kat,cat,5,5,4,5,3,5,2,5,5,3,4,4,4,4,4,5,4,4,5,4,4,5,5,5,5,5,5,4,4.357142857,0.780042056,28,,
koe,cow,4,4,4,3,3,5,2,5,4,3,3,4,5,4,4,4,4,4,4,4,3,5,4,3,5,3,2,4,3.785714286,0.832539304,28,,
konijn,rabbit,4,4,4,3,3,5,3,5,4,3,3,4,3,4,3,4,3,3,4,3,4,5,4,3,5,3,3,4,3.678571429,0.722832465,28,,
lama,llama,2,2,2,2,3,3,2,3,2,3,3,3,2,3,4,2,2,2,2,2,2,3,2,2,2,3,2,3,2.428571429,0.572749795,28,,
leeuw,lion,5,3,2,2,3,4,2,5,2,3,3,3,3,4,3,3,2,3,4,3,2,5,4,3,3,3,3,3,3.142857143,0.890870806,28,,
muis,mouse,5,4,2,5,3,4,3,5,3,3,3,4,3,4,3,4,3,4,5,3,3,5,4,3,3,4,2,4,3.607142857,0.875141712,28,,
neushoorn,rhinoceros,3,2,2,2,3,4,2,3,2,2,3,3,3,4,3,3,2,3,4,3,2,3,4,2,3,3,2,3,2.785714286,0.686221153,28,,
nijlpaard,hippopotamus,5,2,2,3,3,3,2,3,2,2,3,3,3,4,3,2,2,2,3,2,2,3,3,2,3,3,2,3,2.678571429,0.722832465,28,,
olifant,elephant,5,3,2,4,3,4,2,4,2,3,3,4,2,4,3,2,2,2,4,2,2,4,3,2,3,3,2,3,2.928571429,0.899735411,28,,
paard,horse,5,5,4,3,3,5,2,5,3,3,3,4,4,4,4,4,3,3,4,3,3,5,4,4,5,4,3,4,3.785714286,0.832539304,28,,
schaap,sheep,5,4,4,4,3,4,4,5,3,3,3,4,3,4,3,4,4,3,4,3,3,5,4,4,4,3,3,4,3.714285714,0.658682347,28,,
tijger,tiger,5,2,2,4,3,4,2,4,2,3,3,3,2,4,3,3,2,3,4,3,2,5,3,3,2,3,2,3,3,0.902670934,28,,
varken,pig,5,4,4,4,3,4,5,5,3,3,3,4,3,4,4,3,4,3,4,3,3,4,4,3,4,3,2,3,3.607142857,0.737326789,28,,
vleermuis,bat,3,2,2,2,3,3,2,3,3,2,3,3,3,4,3,2,2,3,2,2,3,2,4,2,4,2,2,3,2.642857143,0.678466993,28,,
vos,fox,3,3,2,2,3,4,2,4,3,3,3,3,3,4,3,2,2,3,3,3,2,3,4,3,3,3,2,3,2.892857143,0.628890011,28,,
wolf,wolf,5,5,2,3,3,4,2,4,2,2,3,3,3,4,3,2,2,2,4,2,2,4,3,3,2,3,2,3,2.928571429,0.939998874,28,,
zebra,zebra,5,2,2,3,3,3,2,5,2,3,3,3,3,4,4,2,2,2,2,3,2,3,3,3,2,3,2,3,2.821428571,0.862965234,28,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
